1.57|08/13/2008|2008|1|C|1.37|.00|.00|.45|.00|.10|.00|.00|.00|.00|.00|.00|1.02|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|M Tax Bill #2796|4|50020429|0|0|    .00|9|2796|MP|
1.67|08/17/2007|2007|1|C|1.47|.00|.00|.55|.00|.10|.00|.00|.00|.00|.00|.00|1.02|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|M Tax Bill #2443|4|50020429|0|0|    .00|9|2443|MP|
1.37|09/08/2010|2010|1|C|1.12|.00|.00|.25|.00|.10|.00|.00|.00|.00|.00|.00|1.02|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|Tax Bill # 3404|4|50020429||0|    .00|8|3404|MP|
1.49|09/19/2009|2009|1|C|1.12|.00|.00|.37|.00|.10|.00|.00|.00|.00|.00|.00|1.02|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|Tax Bill # 2979|4|478||0|    .00|8|2979|MP|
203.75|08/13/2008|2008|1|C|181.65|.00|.00|55.16|.00|13.51|.00|.00|.00|.00|.00|.00|135.08|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|M Tax Bill #4598|29|50058390|0|0|    .00|9|4598|MP|
188.91|08/17/2007|2007|1|C|169.60|.00|.00|59.69|.00|11.75|.00|.00|.00|.00|.00|.00|117.47|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|M Tax Bill #4174|29|50058390|0|0|    .00|9|4174|MP|
174.49|07/31/2006|2006|1|C|157.57|.00|.00|62.14|.00|10.21|.00|.00|.00|.00|.00|.00|102.14|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|M Tax Bill #3334|29|50058390|0|0|    .00|9|3334|MP|
234.11|09/08/2010|2010|1|C|196.50|.00|.00|37.61|.00|17.86|.00|.00|.00|.00|.00|.00|178.64|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|Tax Bill # 4794|29|50058390||0|    .00|8|4794|MP|
219.34|09/19/2009|2009|1|C|170.89|.00|.00|48.45|.00|15.54|.00|.00|.00|.00|.00|.00|155.35|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|Tax Bill # 4765|29|69||0|    .00|8|4765|MP|
444.12|09/19/2009|2009|1|C|346.43|.00|.00|97.69|.00|31.49|.00|.00|.00|.00|.00|.00|314.94|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|Tax Bill # 2913|30|39||0|    .00|8|2913|MP|
4.11|09/08/2010|2010|1|C|30.82|.00|.00|4.11|3.84|.00|.00|.00|.00|.00|.00|.00|30.82|26.98|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|Tax Bill # 1135|40|50065057||0|    .00|8|1135|MP|
5.79|09/08/2010|2010|1|C|4.77|.00|.00|1.02|.00|.00|.00|.00|.00|.00|.00|.00|4.77|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|Tax Bill # 1439|46|50065702||0|    .00|8|1439|MP|
.18|09/08/2010|2010|1|C|24.64|.00|.00|1.75|1.75|.00|.00|.00|.00|.00|.00|.00|24.64|24.46|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|Tax Bill # 1831|55|50068198||0|    .00|8|1831|MP|
1.10|09/08/2010|2010|1|C|.85|.00|.00|.25|.00|.00|.00|.00|.00|.00|.00|.00|.85|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|Tax Bill # 2548|61|50068810||0|    .00|8|2548|MP|
96.74|08/13/2008|2008|1|C|86.19|.00|.00|26.24|.00|6.41|.00|.00|.00|.00|.00|.00|64.09|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|M Tax Bill #2713|81|50070843|0|0|    .00|9|2713|MP|
